"isbn","titolo_manoscritto","titolo_libraccio","autori","editore","materia","classi","indirizzo","prezzo_listino","prezzo_mercatino","flag","stato_lookup"
"9788858353011","Verso la storia della letteratura","Verso la storia della letteratura. I testi delle origini, i contesti, l'analisi, il metodo. Per le Scuole superiori","Simonetta Damele, Tiziano Franzi","Loescher","Antologia","2A 2D 2E 2F","Tradizionale","7.70","2.35","gia_in_uso","OK"
"9788858335000","Riflessi","Riflessi. Narrativa, poesia, teatro: le forme, i generi, la scrittura","Simonetta Damele, Tiziano Franzi","Loescher","Antologia","2A 2D 2E 2F","Tradizionale","20.50","8.75","","OK"
"9788848266246","Quae manent. Grammatica","Quae manent. Grammatica","Tantucci, Roncoroni, Cappelletto","Poseidonia Scuola","Latino","2A 2D 2E 2F","Tradizionale","19.70","8.35","","OK"
"9788848266321","Quae manent. Laboratorio 2","Quae manent. Laboratorio. Vol. 2","Tantucci, Roncoroni, Cappelletto","Poseidonia Scuola","Latino","2A 2D 2E 2F","Tradizionale","28.20","12.60","","OK"
"9788869105470","Lontani vicini vol.2","Lontani vicini. Dall'impero romano all'alto Medioevo. Vol. 2","Bettini, Lentano, Puliga","Bruno Mondadori","Geostoria","2A 2D 2E 2F","Tradizionale","32.40","14.70","","OK"
"9781035141654","The Yellow Grammar Book 2025","The yellow grammar book 2025. Vol. unico","Macmillan","Macmillan","Inglese-Grammatica","2A 2D 2E 2F","Tradizionale","34.50","15.75","nuova_adozione","OK"
"9780194158077","Insight Intermediate Combopack","Insight. Intermediate. Combo pack. Student Book & Workbook, Skills trainer","","Oxford University Press","Inglese-Triennio","2A 2D 2E 2F","Tradizionale","36.70","16.85","","OK"
"9788849421675","Colori della matematica vol.2","Colori della matematica. Quaderno. Ediz. blu. Vol. 2","Leonardo Sasso, Claudio Zanone","Petrini","Matematica","2A 2D 2E 2F","Tradizionale","36.90","16.95","","OK"
"9788893790567","Biologia 1 biennio","Biologia. Per il 1° biennio","Freeman, Quillin, Allison","Pearson Science","Biologia","2A 2D 2E 2F","Tradizionale","28.40","12.70","","OK"
"9788842117452","A passo d'arte 2","A passo d'arte. Arte ieri oggi. Vol. 2: Dal tardoantico al gotico internazionale","Giuseppe Nifosì","Laterza","Arte","2A 2D 2E 2F","Tradizionale","26.90","11.95","","OK"
"9788808550071","Itinerario nell'arte ed. arancione vol.2","Itinerario nell'arte. Ediz. arancione. Vol. 2: Dall'arte paleocristiana a Giotto","Cricco, Di Teodoro","Zanichelli","Arte","2C 2G","Tradizionale","23.90","10.45","","OK"
"9788808537416","Fisica e realta blu vol.3","Fisica e realtà.blu. Vol. 3: Induzione e onde elettromagnetiche, relatività e quanti","Claudio Romeni","Zanichelli","Fisica","5G 5L 5D","Sc. Applicate","38.50","17.75","","OK"
"9788808641489","Itinerario nell'arte vol.5","Itinerario nell'arte. Ediz. arancione. Vol. 5: Dall'Art Nouveau ai giorni nostri","Cricco, Di Teodoro","Zanichelli","Arte","5G","Sc. Applicate","32.70","14.85","","OK"
"9788830220676","Milleduemilatrenta vol.3","MilleDuemilaTrenta. Vol. 3","Valerio Castronovo","La Nuova Italia","Storia","5I 5F","Sportivo","39.80","18.40","","OK"
"9788842676201","Il portico dipinto vol.3","Il portico dipinto. Fare filosofia ora. Vol. 3","Gentile, Ronga, Bertelli","Il Capitello","Filosofia","5I 5F 5E","Sportivo","42.70","19.85","","OK"
"9788808933959","Le scienze della terra (montagna innevata)","Le scienze della Terra. Tettonica delle placche, Interazioni tra geosfere","Alfonso Bosellini","Zanichelli","Scienze","5I 5A","Sportivo","12.80","4.90","","OK"
"9788861604414","Le regole del gioco vol.2","Le regole del gioco. Diritto ed Economia dello sport. Vol. 2","Maria Rita Cattani","Paramond","Diritto ed Economia","5I","Sportivo","27.80","12.40","","OK"
"9788857791562","Storia e storiografia vol.1","Storia e storiografia. Vol. 1: Dall'anno Mille alla Rivoluzione inglese","Desideri, Codovini","D'Anna","Storia","3 (quinte)","Tradizionale","32.90","14.95","","OK"
"9788839566836","E tempo di filosofia vol.1","È tempo di filosofia. Vol. 1: Dalle origini alla scolastica","Abbagnano, Fornero, Burghi","Paravia","Filosofia","quinte","Tradizionale","32.90","14.95","nuova_adozione","OK"
"9788857790466","Competenze motorie","Competenze motorie","Edo Zocca, Antonella Sbragi","D'Anna","Scienze Motorie","quinte","Tradizionale","24.90","10.95","gia_in_uso","OK"
"9781108457682","English Grammar in Use","English grammar in use. Book without answers","Raymond Murphy","Cambridge","Inglese-Grammatica","quinte","Tradizionale","36.80","16.90","gia_in_uso","OK"
"9788861619111","Lifelines Compact ed. rossa vol.1","Lifelines compact. Ediz. rossa. Vol. 1","Mauro Spicci, Timothy Alan Shaw","Lang","Inglese-Letteratura","quinte","Tradizionale","33.10","15.05","nuova_adozione","OK"
"9788808978929","Matematica manuale blu 2.0 conf.3","Manuale blu 2.0 di matematica. Confezione 3","Bergamini, Barozzi, Trifone","Zanichelli","Matematica","quinte","Tradizionale","40.20","18.60","nuova_edizione","OK"
"9788808807625","La fisica di Cutnell e Johnson vol.1","La fisica di Cutnell e Johnson. Vol. 1: Meccanica e termodinamica","Cutnell, Johnson, Young","Zanichelli","Fisica","quinte","Tradizionale","33.90","15.45","","OK"
"9788893798228","Il Campbell 2 biennio","Il Campbell. Corso di Biologia. Per il secondo biennio","Taylor, Simon, Dickey","Linx","Biologia","quinte","Tradizionale","38.80","17.90","","OK"
"9788808423962","Le scienze della terra (vulcano)","Le scienze della Terra. Minerali e rocce, Vulcani, Terremoti","Alfonso Bosellini","Zanichelli","Scienze","quinte","Tradizionale","20.00","8.50","","OK"
"9788842117469","A passo d'arte vol.3","A passo d'arte. Vol. 3: Dal rinascimento al manierismo","Giuseppe Nifosì","Laterza","Arte","quinte","Tradizionale","30.90","13.95","","OK"
"9788838338700","Homo sum civis sum vol.1","Homo sum civis sum. Vol. 1","Maurizio Bettini, Mario Lentano","Sansoni","Latino","3E 3F 3H 3C","Tradizionale","32.80","14.90","","OK"
"9788830230415","Non c'e futuro senza memoria vol.1","Non c'è futuro senza memoria. Vol. 1: Dall'anno Mille alla fine del Seicento","Roberto Balzani","La Nuova Italia","Storia","3F 3H 3C 3I 3K","Tradizionale","32.50","14.75","nuova_adozione","OK"
"9788869646171","Dal pensiero alle parole (vol.A-B)","Dal pensiero alle parole. Vol. A-B: Morfosintassi, comunicazione, lessico-Scrittura","Claudia Savigliano","Garzanti Scuola","Grammatica","1A 1C 1D 1E 1F","Tradizionale","37.25","17.12","","OK"
"9788858353004","Le stelle ad una ad una","Le stelle ad una ad una. Narrativa. Poesia. Teatro. Scrittura","Simonetta Damele, Tiziano Franzi","Loescher","Antologia","1A 1C 1D 1E 1F","Tradizionale","20.10","8.55","nuova_adozione","OK"
