"isbn","titolo","volume","autori","editore","materia","prezzo_listino","prezzo_mercatino","classi","fonte","nuova_adozione","da_acquistare","consigliato","religione","presente_in_v1"
"9788893790567","BIOLOGIA - PRIMO BIENNIO","0","S  FREEMAN, K  QUILLIN, L A  ALLISON","PEARSON SCIENCE","BIOLOGIA - 1 ^E 2^ANNO RIORDINO","28.40","12.70","2A 2B 2C 2D 2E 2F 2G 2I 2K 2L 2M 2N","AIE","SI","SI","NO","NO","SI"
"9788891920430","IL CAMPBELL - CORSO DI BIOLOGIA - SECONDO BIENNIO - VOLUME UNICO","0","MARTHA R  TAYLOR, ERIC J  SIMON, JEAN L  DICKEY","PEARSON SCIENCE","BIOLOGIA - SECONDO BIENNIO","37.30","17.15","4I","AIE","NO","NO","NO","NO","NO"
"9788893798228","IL CAMPBELL - SECONDA EDIZIONE - CORSO DI BIOLOGIA - SECONDO BIENNIO - VOLUME","0","TAYLOR MARTHA R, SIMON ERIC J, DICKEY JEAN L","LINX","BIOLOGIA - SECONDO BIENNIO","38.80","17.90","3A 3B 3C 3D 3E 3F 3G 3H 3I 3K 3L 3M 3N 4A 4B 4C 4D 4E 4F 4G 4I 4L 4M 4N","AIE","NO","SI","NO","NO","SI"
"9788808599872","CHIMICA: CONCETTI E MODELLI 3ED. - VOLUME UNICO - DALLA MATERIA ALL'ELETTROCHIMICA","0","VALITUTTI GIUSEPPE, FALASCA MARCO, AMADIO PATRIZIA","ZANICHELLI EDITORE","CHIMICA 1^ E 2^ ANNO","49.60","23.30","1A 1B 1C 1D 1E 1F 1G 1I 1K 1L 1M 1N 2A 2B 2C 2D 2E 2F 2G 2I 2K 2L 2M 2N 3A 3B 3C 3D 3E 3F 3G 3H 3I 3K 3L 3M 3N 4A 4B 4C 4D 4E 4F 4G 4I 4L 4M 4N","AIE","NO","SI","NO","NO","SI"
"9788861604414","LE REGOLE DEL GIOCO SECONDA EDIZIONE - QUINTO ANNO","2","MARIA RITA CATTANI","PARAMOND","DIRITTO E ECONOMIA (SECONDO BIENNIO + 5°)","27.80","12.40","5I","AIE","NO","SI","NO","NO","SI"
"9788861604391","LE REGOLE DEL GIOCO SECONDA EDIZIONE - SECONDO BIENNIO","1","MARIA RITA CATTANI","PARAMOND","DIRITTO E ECONOMIA (SECONDO BIENNIO + 5°)","38.70","17.85","3I 3K 4I","AIE","NO","SI","NO","NO","SI"
"9788839303714","DISCIPLINE SPORTIVE EDUCARE AL MOVIMENTO VOLUME + EBOOK + - FASCICOLO PROGRESSIONI DIDATTICHE","0","LOVECCHIO N, FIORINI G  CHIESA E, CORETTI S  BOCCHI S","MARIETTI SCUOLA","DISCIPLINE SPORTIVE","19.10","8.05","3I 3K 4I 5I","AIE","NO","NO","NO","NO","NO"
"9788839304131","DISCIPLINE SPORTIVE NUOVA EDIZIONE + EBOOK - VOLUME UNICO + PROGRESSIONI DIDATTICHE + EBOOK","0","LOVECCHIO N  MERATI M  VAGO P","MARIETTI SCUOLA","DISCIPLINE SPORTIVE","20.95","8.97","1I 1K 2I 2K 3I 3K","AIE","NO","SI","NO","NO","SI"
"9788842676195","PORTICO DIPINTO (IL) 2 - FARE FILOSOFIA ORA","2","GENTILE G, RONGA L, BERTELLI M","IL CAPITELLO","FILOSOFIA - CORSI","41.40","19.20","4I","AIE","NO","SI","NO","NO","SI"
"9788842676201","PORTICO DIPINTO (IL) 3 - FARE FILOSOFIA ORA","3","GENTILE G, RONGA L, BERTELLI M","IL CAPITELLO","FILOSOFIA - CORSI","42.70","19.85","5A 5E 5F 5I","AIE","SI","SI","NO","NO","SI"
"9788858339510","PROSPETTIVE DEL PENSIERO 2A+2B","2","RUFFALDI ENZO, NICOLA UBALDO","LOESCHER EDITORE","FILOSOFIA - CORSI","43.00","20.00","4B 4G 4L 4M 4N","AIE","NO","SI","NO","NO","SI"
"9788858339527","PROSPETTIVE DEL PENSIERO 3A+3B","3","RUFFALDI ENZO, NICOLA UBALDO","LOESCHER EDITORE","FILOSOFIA - CORSI","53.00","25.00","5B 5G 5L 5M","AIE","NO","SI","NO","NO","SI"
"9788858362006","RAGIONI DEL PENSIERO (LE) EDIZIONE ROSSA VOL.1 - 1. DALLE ORIGINI AL MEDIOEVO","1","CIOFFI FABIO, LUPPI GIORGIO, ZANETTE EMILIO","LOESCHER EDITORE","FILOSOFIA - CORSI","29.90","13.45","3B 3G 3I 3K 3L 3M 3N","AIE","SI","SI","NO","NO","SI"
"9788839566836","È TEMPO DI FILOSOFIA 1 - 1 DALLE ORIGINI ALLA SCOLASTICA","1","ABBAGNANO NICOLA, FORNERO GIOVANNI","PARAVIA","FILOSOFIA - CORSI","32.90","14.95","3A 3C 3D 3E 3F 3H","AIE","NO","SI","NO","NO","SI"
"9788839566850","È TEMPO DI FILOSOFIA 2 - 2 DALL'UMANESIMO A HEGEL","2","ABBAGNANO NICOLA, FORNERO GIOVANNI","PARAVIA","FILOSOFIA - CORSI","39.90","18.45","4A 4C 4D 4E 4F","AIE","NO","SI","NO","NO","SI"
